Title,Genre,Rating,Votes,Duration
1. The Netflix Slam,Game-Show,7.1, (141),2h 30m
2. 2024 Pokémon World Championships,Game-Show,N/A,N/A,N/A
3. The Falcon Feud,Game-Show,N/A,N/A,45m
