Title,Genre,Rating,Votes,Duration
114. Bloody Axe Wound,Horror,4.8, (460),1h 23m
115. House of Spoils,Horror,5.0, (3.7K),1h 41m
116. Test Screening,Horror,6.8, (63),1h 32m
117. Desert Fiends,Horror,8.5, (359),1h 46m
118. Street Trash,Horror,4.4, (723),1h 25m
119. Bad Fish,Horror,3.4, (302),1h 24m
120. The Balconettes,Horror,6.3, (725),1h 44m
121. The Buildout,Horror,4.2, (62),1h 10m
122. Night Talkers,Horror,4.0, (74),1h 29m
123. Cloud,Horror,6.3, (881),2h 3m
124. You Can't Run Forever,Horror,4.5, (4.2K),1h 42m
125. Believer,Horror,4.5, (353),1h 48m
126. The Painted,Horror,4.8, (246),1h 25m
127. Mr. Crocket,Horror,5.4, (4.4K),1h 28m
128. Carved,Horror,4.4, (2.7K),1h 35m
129. Here After,Horror,4.1, (1.3K),1h 33m
130. Sayuri,Horror,6.4, (252),1h 48m
131. Shark Girl,Horror,2.6, (133),1h 22m
132. The Depths,Horror,N/A,N/A,1h 28m
133. Chime,Horror,6.4, (2.2K),45m
134. Out Come the Wolves,Horror,4.7, (1.4K),1h 26m
135. Cinderella's Revenge,Horror,3.7, (1K),1h 25m
136. Crescent City,Horror,3.9, (1.3K),1h 43m
137. 1978,Horror,5.5, (150),1h 16m
138. Angels Fallen: Warriors of Peace,Horror,4.9, (5.8K),1h 43m
139. Cinderella's Curse,Horror,3.3, (1.2K),1h 22m
140. X Files,Horror,2.0, (57),1h 14m
141. Latency,Horror,4.2, (1.7K),1h 34m
142. Freelance,Horror,4.8, (298),1h 50m
143. Rippy,Horror,4.1, (811),1h 23m
144. Krazy House,Horror,4.8, (1.4K),1h 29m
145. The Little Mermaid,Horror,3.8, (130),1h 29m
146. The Ghost,Horror,7.5, (74),1h 32m
147. Dan Da Dan: First Encounter,Horror,8.2, (2.5K),1h 23m
148. Black Cab,Horror,4.2, (1.6K),1h 28m
149. Are You There?,Horror,7.1, (38),1h 28m
150. Milk & Serial,Horror,6.6, (2.4K),1h 2m
151. The American Backyard,Horror,6.2, (113),1h 47m
152. Witchboard,Horror,7.6, (86),1h 55m
153. Operation Blood Hunt,Horror,3.4, (449),1h 33m
154. Dead Talents Society,Horror,7.4, (784),1h 45m
155. DarkGame,Horror,4.6, (2.8K),1h 40m
156. Anatema,Horror,4.2, (173),1h 31m
157. Queen of Bones,Horror,7.2, (58),1h 30m
158. Anaconda,Horror,4.9, (599),1h 24m
159. #AMFAD: All My Friends Are Dead,Horror,4.5, (1.2K),1h 31m
160. The Hangman,Horror,3.3, (981),1h 32m
161. Mononoke the Movie: The Phantom in the Rain,Horror,6.7, (1.1K),1h 29m
162. Goldilocks and the Three Bears: Death and Porridge,Horror,2.4, (1.4K),1h 23m
163. Sunrise,Horror,3.8, (978),1h 33m
164. Bloodline Killer,Horror,3.8, (4.4K),1h 45m
165. Slay,Horror,6.5, (1.1K),1h 39m
166. Ick,Horror,5.6, (195),1h 27m
167. Dominion of Darkness,Horror,5.7, (725),1h 36m
168. Spiders on a Plane,Horror,5.8, (356),1h 18m
169. You Shall Not Sleep Tonight,Horror,4.1, (326),1h 17m
170. Grave Torture,Horror,6.2, (2.7K),1h 57m
171. Terminator: Skynet Rising,Horror,6.8, (256),1h 28m
172. Beezel,Horror,4.8, (1.2K),1h 21m
173. The Monster Beneath Us,Horror,5.9, (400),1h 43m
174. Mutants of Nature Cove,Horror,3.6, (146),1h 28m
175. Conjuring the Cult,Horror,5.7, (816),1h 33m
176. Monster on a Plane,Horror,5.1, (2K),1h 28m
177. The Candy Store,Horror,3.9, (66),1h 26m
178. The Demon Disorder,Horror,4.8, (1.2K),1h 26m
179. Hell Hole,Horror,4.4, (1.2K),1h 32m
180. Butchers Book Two: Raghorn,Horror,4.1, (529),1h 28m
181. Amityville: Where the Echo Lives,Horror,1.5, (256),1h 29m
182. Salve Maria,Horror,6.5, (422),1h 51m
183. Model House,Horror,4.0, (1.1K),1h 25m
184. Unnatural,Horror,5.1, (84),1h 44m
185. True Fear,Horror,4.5, (226),1h 32m
186. Perewangan,Horror,6.1, (82),1h 49m
187. Devon,Horror,2.6, (281),1h 12m
188. What Lurks Beneath,Horror,4.5, (766),1h 42m
189. Bystanders,Horror,3.8, (253),1h 22m
190. Baby Invasion,Horror,5.4, (49),1h 20m
191. Down Below,Horror,2.8, (176),1h 33m
192. We Are Wolves,Horror,3.5, (255),1h 37m
193. Dead Mail,Horror,6.7, (279),1h 46m
194. Handsome Guys,Horror,6.5, (733),1h 41m
195. Operation Undead,Horror,4.6, (343),1h 50m
196. The Ceremony Is About to Begin,Horror,4.4, (368),1h 10m
197. Frankie Freako,Horror,5.6, (1K),1h 25m
198. The Vampire Next Door,Horror,4.6, (741),1h 50m
199. Heresy,Horror,6.9, (262),1h 1m
200. Do Not Enter,Horror,5.3, (523),1h 25m
201. Spring Garden,Horror,4.4, (150),1h 30m
202. Animale,Horror,6.0, (245),1h 38m
203. Black,Horror,7.1, (2.7K),1h 55m
204. Went Up the Hill,Horror,6.9, (75),1h 40m
205. Succubus,Horror,3.5, (826),1h 36m
206. Please Don't Feed the Children,Horror,5.5, (65),1h 34m
207. Butchers Book Three: Bonesaw,Horror,5.4, (52),1h 47m
208. Peripheral,Horror,9.4, (21),1h 28m
209. There's a Zombie Outside,Horror,7.2, (33),1h 15m
210. I'll Play Mother,Horror,5.1, (70),1h 48m
211. What Happened to Suzy,Horror,6.7, (51),1h 34m
212. Parvulos,Horror,6.7, (283),1h 59m
213. Mona: Jinn-2,Horror,4.1, (117),2h 4m
214. The Witch: Revenge,Horror,5.3, (763),1h 40m
215. Witch,Horror,5.1, (1.4K),1h 47m
216. Desert Road,Horror,6.7, (154),1h 30m
217. 12 to Midnight,Horror,3.6, (268),1h 36m
218. Devils Stay,Horror,4.9, (224),1h 35m
219. Cadi,Horror,6.3, (4.3K),2h 14m
220. Consumed,Horror,3.7, (573),1h 29m
221. Invasive,Horror,5.6, (652),1h 37m
222. Huntress,Horror,2.9, (78),1h 17m
223. Alien Country,Horror,4.4, (346),1h 36m
224. Staycation,Horror,7.2, (100),1h 34m
225. Destroy All Neighbors,Horror,5.3, (2K),1h 25m
226. #MissingCouple,Horror,5.3, (449),1h 33m
227. Seeds,Horror,6.7, (55),1h 22m
228. Silent Bite,Horror,3.7, (483),1h 30m
229. Kuang Bao Ju Xi,Horror,6.2, (66),1h 15m
230. Festival of the Living Dead,Horror,4.3, (618),1h 28m
231. Suckers,Horror,3.2, (115),1h 7m
232. H. P. Lovecraft's the Old Ones,Horror,3.6, (366),1h 24m
233. The Forbidden Camp: Mass Possession,Horror,6.1, (239),1h 52m
234. Room Service,Horror,3.9, (288),47m
235. The Corpse Washer,Horror,6.2, (1.1K),1h 47m
236. Bureau 749,Horror,4.1, (493),2h 3m
237. Another Cabin in the Woods Movie,Horror,4.8, (185),1h 17m
238. The Bunker,Horror,7.1, (41),1h 32m
239. Stupid Games,Horror,4.2, (361),1h 26m
240. Seven Cemeteries,Horror,4.4, (484),1h 24m
241. Turno Nocturno,Horror,5.8, (226),1h 47m
242. Lost Angels,Horror,7.7, (17),1h 36m
243. Murder Mubarak,Horror,5.8, (51K),2h 20m
244. Go Away,Horror,4.3, (165),N/A
245. The Yorkie Werewolf,Horror,6.5, (58),N/A
246. Mulm,Horror,6.3, (49),1h 38m
247. From Darkness,Horror,5.0, (541),1h 35m
248. Cora,Horror,4.7, (783),1h 40m
249. Bone Lake,Horror,6.9, (41),1h 34m
250. Nokturno,Horror,3.7, (203),1h 39m
251. A Desert,Horror,6.3, (149),1h 43m
252. Possession: Kerasukan,Horror,3.5, (270),1h 34m
253. Killer Body Count,Horror,4.7, (626),1h 49m
254. Somnium,Horror,8.6, (38),1h 32m
255. Strange Frequencies: Taiwan Killer Hospital,Horror,7.9, (36),1h 31m
256. Do You See What I See,Horror,5.4, (619),1h 49m
257. Mummy Shark,Horror,2.0, (164),1h 6m
258. Frewaka,Horror,6.3, (136),1h 43m
259. Amp House Massacre,Horror,3.9, (163),1h 20m
260. Cocaine Werewolf,Horror,2.3, (295),1h 20m
261. Camp Pleasant Lake,Horror,3.3, (2.4K),1h 30m
262. The Beldham,Horror,6.5, (33),N/A
263. The Haunted Apartment,Horror,7.4, (74),1h 43m
264. Invader,Horror,5.8, (48),1h 10m
265. Horror in the High Desert 3: Firewatch,Horror,5.4, (689),1h 28m
266. Curse of the Seven Oceans,Horror,5.7, (132),1h 34m
267. Rita,Horror,5.8, (261),1h 47m
268. Tantra,Horror,5.5, (2.3K),2h 16m
269. Remnant,Horror,2.7, (309),1h 52m
270. In Our Blood,Horror,6.8, (44),1h 29m
271. Wanita Ahli Neraka,Horror,8.7, (46),1h 35m
272. Life of Belle,Horror,5.0, (626),1h 13m
"273. The Haunted, the Possessed and the Damned",Horror,3.0, (41),1h 51m
274. Else,Horror,6.2, (221),1h 40m
275. The Devil's Disciples,Horror,9.1, (35),1h 22m
276. The Windigo,Horror,5.2, (592),1h 25m
277. Kalinga,Horror,7.8, (7.5K),1h 56m
278. Last Night at Terrace Lanes,Horror,4.3, (610),1h 15m
279. Siccin 7,Horror,4.1, (882),1h 34m
280. Cara,Horror,7.1, (41),1h 36m
281. Pater Noster and the Mission of Light,Horror,7.3, (122),Not Rated
282. Lumina,Horror,2.1, (611),1h 53m
283. Crackcoon,Horror,3.6, (395),1h 28m
284. Curse of the Naked Ghost Hunters,Horror,5.0, (10),35m
285. Solvent,Horror,7.6, (381),N/A
286. The Legend of Lake Hollow,Horror,3.7, (481),1h 28m
287. House of Ashes,Horror,6.8, (26),1h 35m
288. Monster Mash,Horror,3.5, (411),1h 25m
289. Mister Sleep,Horror,3.4, (166),1h 34m
290. The Hunted,Horror,5.1, (362),1h 34m
291. Texas Cult House,Horror,8.2, (21),N/A
292. Death's Sonata,Horror,7.6, (241),1h 43m
293. Possessions,Horror,3.8, (839),1h 29m
294. Family,Horror,7.6, (30),1h 35m
295. Munkar,Horror,5.2, (469),1h 27m
296. The Severed Sun,Horror,6.4, (33),N/A
297. Orang Ikan,Horror,6.5, (31),1h 23m
298. Its Name Was Mormo,Horror,4.8, (107),1h 33m
299. Spithood,Horror,5.8, (1.1K),58m
300. Delicate Arch,Horror,5.6, (34),1h 25m
301. Haunt Season,Horror,4.9, (750),1h 21m
302. Sketch,Horror,8.3, (41),1h 32m
303. Chainsaws Were Singing,Horror,7.2, (340),1h 57m
304. Salsa,Horror,5.7, (252),1h 40m
305. The Backrooms,Horror,N/A,N/A,1h 3m
306. Witch Hunter,Horror,4.6, (19),1h 20m
307. Pasahero,Horror,6.1, (20),2h
308. Kang Mak,Horror,6.4, (747),2h 2m
309. The Alien Report,Horror,4.6, (148),1h 21m
310. The Redemption of Sin,Horror,7.3, (48),1h 56m
311. Don't Make a Sound,Horror,4.6, (26),1h 20m
312. Bury Your Dead,Horror,5.4, (74),2h 8m
313. Obayifo Project,Horror,3.5, (177),1h 11m
314. Replicator,Horror,4.5, (84),1h 15m
315. Do Not Open,Horror,2.6, (255),1h 31m
316. Chateau,Horror,3.9, (249),1h 23m
317. History of Evil,Horror,3.4, (815),1h 38m
318. Scared to Death,Horror,6.2, (26),1h 38m
319. A Mother's Embrace,Horror,5.8, (545),1h 30m
320. Hunting Matthew Nichols,Horror,9.0, (44),1h 36m
321. Director's Cut,Horror,7.8, (73),1h 30m
322. Dancing Village: The Curse Begins,Horror,5.7, (4.1K),2h 2m
323. Demonte Colony 2,Horror,6.6, (4.4K),2h 24m
324. The Moogai,Horror,5.5, (138),1h 26m
325. Grotesque 2,Horror,6.6, (392),N/A
326. (Pri)sons,Horror,5.0, (244),1h 40m
327. Kromoleo,Horror,4.1, (206),1h 20m
328. The Jack in the Box Rises,Horror,4.1, (775),1h 32m
329. The Naughty List of Mr. Scrooge,Horror,4.5, (188),1h 30m
330. Paranoia,Horror,4.1, (350),1h 35m
331. Haze,Horror,7.0, (42),1h 16m
332. Space Sharks,Horror,1.5, (310),1h 10m
333. A Savior Red,Horror,6.5, (195),1h 27m
334. The Stalking,Horror,4.8, (28),1h 12m
335. Graveyard Shark,Horror,3.3, (207),1h 37m
336. Christmas Slasher,Horror,N/A,N/A,N/A
337. The Containment,Horror,N/A,N/A,N/A
338. Dinner with Leatherface,Horror,7.8, (13),1h 46m
339. Ghost Game,Horror,3.4, (270),1h 26m
340. My Redneck Neighbor: Chapter 2 - Let the Games Begin,Horror,N/A,N/A,55m
341. Last Stop: Rocafort St.,Horror,4.1, (438),1h 29m
342. Steamboat Willie: Blood on the Water,Horror,N/A,N/A,N/A
343. Portraits,Horror,4.9, (42),1h 22m
344. Wineville,Horror,4.4, (214),1h 40m
345. Bag of Lies,Horror,3.8, (563),1h 36m
346. Strange Harvest: Occult Murder in the Inland Empire,Horror,6.6, (63),1h 34m
347. Kakuda,Horror,5.3, (6.3K),1h 56m
348. The Cellar,Horror,5.8, (159),1h 25m
349. Good Neighbours,Horror,3.2, (157),1h 24m
"350. Spider Baby, or The Maddest Story Ever Told",Horror,5.2, (84),1h 12m
351. Thaghut,Horror,5.8, (268),1h 42m
352. Crust,Horror,6.2, (216),1h 42m
353. Clickbait: Unfollowed,Horror,5.0, (559),1h 30m
354. The Sin,Horror,5.3, (327),1h 43m
355. The Seductress from Hell,Horror,7.0, (14),1h 42m
356. 9 Windows,Horror,3.6, (299),1h 22m
357. The Family Business,Horror,8.2, (23),1h 29m
358. Name the Demon,Horror,3.5, (156),1h 17m
359. The Omicron Killer,Horror,2.9, (593),1h 38m
360. Heretics,Horror,5.9, (33),1h 23m
361. House on Haunted Hill,Horror,3.1, (28),N/A
362. Spirit Whisker: The Revenant,Horror,5.5, (40),1h 49m
363. Wake,Horror,3.4, (259),1h 25m
364. Mountain Shark,Horror,5.1, (92),1h 21m
365. Cursed,Horror,4.2, (129),1h 21m
366. Vampire Zombies... From Space!,Horror,7.6, (59),1h 38m
367. Invited,Horror,5.2, (190),1h 11m
368. Black Spines,Horror,6.9, (21),1h 40m
369. Dagr,Horror,4.4, (2.6K),1h 17m
370. They Call Her Death,Horror,6.5, (21),1h 32m
371. Happy Birthday Luci,Horror,9.4, (55),N/A
372. Sorop,Horror,6.9, (56),1h 43m
373. Aiden,Horror,2.6, (116),1h 14m
374. The Blackwell Ghost 8,Horror,6.1, (370),1h 9m
"375. Hemet, or the Landlady Don't Drink Tea",Horror,4.3, (84),1h 29m
376. Followers,Horror,3.7, (240),1h 14m
377. The Beast Inside,Horror,6.5, (32),N/A
378. Whisper of the Witch,Horror,3.9, (315),1h 35m
379. Vina: Before 7 Days,Horror,5.3, (564),1h 40m
380. Terror of the Soul,Horror,N/A,N/A,N/A
381. The McKinney Family Home Videos,Horror,5.5, (19),1h 8m
382. Sengkolo: Malam satu suro,Horror,6.1, (43),1h 40m
383. Weekend Deadaway,Horror,5.0, (75),N/A
384. Campton Manor,Horror,3.4, (216),1h 23m
385. Pasar Setan,Horror,6.8, (53),1h 36m
386. Pacific Fear,Horror,3.4, (160),1h 25m
387. Daft State,Horror,6.4, (40),18+
388. Death Streamer,Horror,3.0, (225),1h 12m
389. Las Tias,Horror,4.8, (242),1h 27m
390. Killer Influence,Horror,2.8, (249),1h 24m
391. The Carters,Horror,5.4, (11),N/A
392. Winter Island,Horror,4.7, (154),1h 42m
393. You Shouldn't Have Let Me In,Horror,4.1, (174),1h 24m
394. Ghatikachalam,Horror,7.0, (5),N/A
395. Mother Father Sister Brother Frank,Horror,7.4, (102),1h 25m
396. Dracula: The Count's Kin,Horror,5.0, (43),N/A
