Title,Genre,Rating,Votes,Duration,Genre_Source
104. My Hero Academia: You're Next,Action,7.0, (1.8K),1h 50m,Action
105. Trouble,Action,6.2, (6.6K),1h 38m,Action
106. My Spy: The Eternal City,Action,5.7, (11K),1h 52m,Action
107. Sunray: Fallen Soldier,Action,4.3, (570),1h 55m,Action
108. Joe Baby,Action,8.2, (24),1h 26m,Action
109. Uprising,Action,6.6, (5.3K),2h 6m,Action
110. Elyas,Action,6.1, (1.2K),1h 45m,Action
111. Dark Match,Action,5.5, (803),1h 34m,Action
112. The Thundermans Return,Action,5.0, (1.8K),1h 10m,Action
113. Mafia Wars,Action,3.4, (209),1h 34m,Action
114. Code 8: Part II,Action,5.7, (16K),1h 40m,Action
115. The Fix,Action,4.6, (1.1K),1h 38m,Action
116. Singham Again,Action,4.8, (75K),2h 24m,Action
117. Rifle Club,Action,7.0, (3.9K),1h 53m,Action
118. Simarik,Action,6.4, (2.2K),1h 51m,Action
119. Hounds of War,Action,4.5, (1.7K),1h 35m,Action
120. Sikandar Ka Muqaddar,Action,6.0, (24K),2h 22m,Action
121. Drive Back,Action,4.7, (285),1h 34m,Action
122. Rats!,Action,8.1, (72),1h 25m,Action
123. Justice League: Crisis on Infinite Earths - Part One,Action,6.2, (8.3K),1h 33m,Action
124. Prey,Action,3.7, (3.2K),1h 26m,Action
125. Badland Hunters,Action,5.9, (12K),1h 47m,Action
126. The Lost Tiger,Action,7.8, (31),1h 30m,Action
127. The Courier,Action,6.0, (4.3K),1h 41m,Action
128. The Roundup: Punishment,Action,6.6, (5K),1h 49m,Action
129. Raayan,Action,6.5, (11K),2h 25m,Action
130. Darkness of Man,Action,4.8, (3.1K),1h 49m,Action
131. Cells at Work!,Action,6.8, (152),1h 49m,Action
132. Officer Black Belt,Action,6.8, (7.9K),1h 48m,Action
133. The Prosecutor,Action,6.8, (1.3K),1h 57m,Action
134. Duchess,Action,4.6, (1.2K),1h 54m,Action
135. Justice League: Crisis on Infinite Earths - Part Three,Action,6.1, (4.3K),1h 34m,Action
136. The Price of Money: A Largo Winch Adventure,Action,5.0, (1K),1h 40m,Action
137. The Wages of Fear,Action,4.6, (4K),1h 44m,Action
138. Bougainvillea,Action,6.4, (2.9K),2h 18m,Action
139. The Quiet Ones,Action,6.5, (500),1h 50m,Action
140. Pani,Action,6.9, (2.7K),2h 23m,Action
141. The Tiger's Apprentice,Action,5.8, (2.1K),1h 24m,Action
142. Arena Wars,Action,5.0, (2K),1h 36m,Action
143. Devara Part 1,Action,6.0, (20K),2h 56m,Action
144. Karma,Action,8.1, (1.4K),2h 47m,Action
145. City Hunter,Action,6.3, (5.5K),1h 42m,Action
"146. I, the Executioner",Action,6.3, (1.5K),1h 58m,Action
147. One Fast Move,Action,5.0, (2.2K),1h 48m,Action
148. One More Shot,Action,5.4, (3.5K),1h 43m,Action
149. Golden Kamuy,Action,6.3, (2.5K),2h 7m,Action
150. Utopia,Action,3.7, (331),1h 31m,Action
151. Cloud,Action,6.3, (880),2h 3m,Action
152. Fight Another Day,Action,5.2, (309),1h 37m,Action
153. Article 370,Action,7.8, (24K),2h 38m,Action
154. Air Force One Down,Action,4.4, (2.8K),1h 24m,Action
155. Lights Out,Action,4.9, (1.7K),1h 30m,Action
156. Ultraman: Rising,Action,6.9, (6.2K),1h 57m,Action
157. 200% Wolf,Action,5.9, (1.2K),1h 38m,Action
158. Fighter,Action,6.2, (52K),2h 46m,Action
159. Life After Fighting,Action,6.4, (1.9K),2h 6m,Action
160. Continental Split,Action,3.5, (529),1h 28m,Action
161. Die Hart 2: Die Harter,Action,4.3, (5.4K),1h 32m,Action
162. The Family Star,Action,5.4, (5.3K),2h 39m,Action
163. Zero,Action,6.1, (37),1h 28m,Action
164. Angels Fallen: Warriors of Peace,Action,4.9, (5.8K),1h 43m,Action
165. Latency,Action,4.2, (1.7K),1h 34m,Action
166. Kill Em All 2,Action,4.1, (1.3K),1h 28m,Action
167. Echo 8,Action,5.7, (146),1h 36m,Action
168. Agent Recon,Action,2.4, (654),1h 25m,Action
169. Dan Da Dan: First Encounter,Action,8.2, (2.5K),1h 23m,Action
170. Murder Company,Action,3.6, (1.5K),1h 26m,Action
171. Ferry 2,Action,5.6, (3.7K),1h 34m,Action
172. Operation Blood Hunt,Action,3.4, (448),1h 33m,Action
173. Freedom,Action,5.9, (1.3K),1h 50m,Action
174. Get Fast,Action,3.6, (430),1h 28m,Action
175. Hijack 1971,Action,6.8, (3.2K),1h 40m,Action
176. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,Action,8.2, (639),2h 54m,Action
177. Anaconda,Action,4.9, (599),1h 24m,Action
178. Alien: Rubicon,Action,2.4, (326),1h 26m,Action
179. A Legend,Action,4.7, (850),2h 9m,Action
180. Alangu,Action,8.3, (1.1K),2h 11m,Action
181. Wynonna Earp: Vengeance,Action,5.5, (1.5K),1h 36m,Action
182. Jigra,Action,6.1, (23K),2h 33m,Action
183. Striking Rescue,Action,5.8, (305),1h 46m,Action
184. Diabel,Action,5.1, (185),1h 48m,Action
185. The Clean Up Crew,Action,4.1, (1.1K),1h 35m,Action
186. The Hangman,Action,3.3, (981),1h 32m,Action
187. Justice League: Crisis on Infinite Earths - Part Two,Action,5.5, (5.2K),1h 34m,Action
188. Invasion,Action,4.8, (662),1h 31m,Action
189. Savi,Action,6.2, (35K),2h 6m,Action
190. Spiders on a Plane,Action,5.8, (356),1h 18m,Action
191. Agni,Action,7.3, (15K),2h 2m,Action
192. Revolver,Action,5.4, (813),1h 54m,Action
193. Terminator: Skynet Rising,Action,6.8, (256),1h 28m,Action
194. Hanu Man,Action,7.7, (29K),2h 38m,Action
195. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Action,7.1, (8.2K),1h 44m,Action
196. Sixty Minutes,Action,5.7, (5.1K),1h 28m,Action
197. Escape,Action,6.4, (1.9K),1h 34m,Action
198. Murder at Hollow Creek,Action,4.2, (77),,Action
199. The Last Kumite,Action,4.6, (2.3K),1h 45m,Action
200. London Calling,Action,6.5, (8),1h 49m,Action
201. Outlaw,Action,5.2, (893),1h 22m,Action
202. The Greatest of All Time,Action,5.8, (22K),3h 3m,Action
203. Overlord: The Sacred Kingdom,Action,7.0, (691),2h 15m,Action
204. 72 Hours,Action,4.1, (279),1h 27m,Action
205. Cassino in Ischia,Action,4.4, (227),1h 53m,Action
206. Vettaiyan,Action,7.0, (39K),2h 43m,Action
207. Baby Invasion,Action,5.4, (49),1h 20m,Action
208. Heart of the Hunter,Action,4.7, (2.1K),1h 45m,Action
209. Alienoid: The Return to the Future,Action,6.5, (2.5K),2h 2m,Action
210. Handsome Guys,Action,6.5, (732),1h 41m,Action
211. Snow White and the Seven Samurai,Action,3.2, (258),1h 28m,Action
212. Operation Undead,Action,4.6, (343),1h 50m,Action
