Movie Name,Genre,Ratings,Voting Counts,Duration
2nd Miracle in Cell No. 7,"Family, Drama, Comedy",7.8,197,147
3 Atos de Moisés,Documentary,6.7,0,94
3 Days 2 Nights in Poblacion,Drama,4.4,14,94
"3 Days, 3 Murders","Drama, Crime",6.7,0,94
3 Frauen 1 Streik,History,6.6,22,94
3 Generations,Drama,6.7,0,94
3 Karod 24 Khallak 1 Sawaal,Drama,6.7,0,94
3 Obás de Xangô,Documentary,6.7,0,94
3 Schmucks,Comedy,8.7,147,91
3 Strikes You're Dead,"Horror, Comedy",6.7,0,94
3 Way Poly,Drama,6.7,0,94
3 Working Days,Drama,4.2,45,94
3 Worlds Apart,Drama,6.7,0,94
3. Gece Habis,Horror,6.7,16,94
3. Gun,"Romance, Comedy",3.9,127,94
"30 Ausflüge auf Seen, Flüssen und Kanälen",Documentary,6.7,0,94
30 Hours Survival: Gauraiya Live,Drama,8.1,73,94
30 anni di meno,Comedy,4.8,21,94
30 to 45,"Horror, Biography, Comedy, Thriller",6.7,0,118
31 Kills of Halloween,Horror,6.7,0,94
31st Movie,Thriller,9.6,18,145
33 Black Frog: An American Story,Documentary,6.7,0,94
3310'dan Tüm Birimlere,Drama,5.6,47,94
3391 Kilometres,Romance,4.2,1100,110
35-Chinna Katha Kaadu,Comedy,7.9,988,145
3500 Km De Sentiers Partagés,Documentary,6.7,0,94
35000 Watts: The Story of College Radio,Documentary,6.7,0,94
36-24-36,Romance,6.1,202,118
37: l'ombre et la proie,Thriller,5.8,58,93
399: Queen of the Tetons,Documentary,7.8,33,94
3Devi,Thriller,9,21,126
3rd October,Drama,8.4,22,94
3rd Place,"Drama, Comedy",6.7,0,105
3rd Street,Action,6.7,0,48
4 Faces,Drama,9.5,22,94
4 Zéros,Comedy,3.5,122,105
4%: Un Documental de EDUCA,Documentary,6.7,0,94
40,"Drama, Romance",4.7,17,94
40 Acres,"Sci-Fi, Drama, Thriller, Action",6.1,91,113
404 Run Run,"Horror, Comedy",5.9,120,104
404.01,Sci-Fi,6.7,0,94
43 Degrees North,"Sci-Fi, Drama, Romance",6.7,0,94
48 Hours and 1 Minute,Drama,5,25,94
4:44 : Time of Fear,"Drama, Horror",5.1,8,94
4GUYS&ACABIN,Comedy,6.7,0,56
4N6,"Thriller, Crime",9.7,60,94
4PM,"Drama, Thriller, Comedy",6.1,34,111
4th Die-Mension,Horror,6.7,0,94
4th Wall Players Presents: Tartuffe,Comedy,6.7,0,106
5 More Minutes,Sci-Fi,6.7,0,94
5 No. Swapnomoy Lane,Drama,8,58,94
5 Pounds of Pressure,"Drama, Action",6.7,14,94
50 States,Comedy,6.7,0,55
50 ans de rock à Nyon - Histoires,Documentary,6.7,0,94
50 km/h,Comedy,6.1,573,110
500 Years of Friendship,Documentary,6.7,0,94
52 Hertz no Kujiratachi,Drama,6.5,142,94
5460: the Joe West Story,Documentary,6.7,0,94
55 Years Glavbolgarstroy,Documentary,9.9,13,94
5D,Crime,8.8,577,94
5G LTE n 2643,Documentary,6.7,0,94
5lbs of Pressure,"Romance, Thriller, Crime",5.3,1500,94
5th Round,Documentary,6.1,14,94
6 Hours Away,Action,3.9,237,93
6 Parents Vs 2 Secret Fake Parents,Comedy,6.7,0,46
6 in the Morning,Drama,4.8,125,94
60 Miles North,"Drama, Comedy",8.7,79,81
601 Gamespittaz,Documentary,6.7,0,94
64 Days,Documentary,9.2,15,94
67 Bombs to Enid,Documentary,6.7,0,94
69 Kg,Documentary,6.7,0,94
7 Beats Per Minute,Documentary,7.8,15,94
7 Day Fast,"Documentary, Adventure, Comedy",6.7,0,50
7 Days Without Sex,"Drama, Comedy",6.7,0,94
7 Days to Get Rid of My Ex,"Romance, Comedy",6.7,0,106
7 Keys,Thriller,6.6,30,93
7 Melek,"Drama, Action",6.7,0,94
7 Seals,Drama,6.7,0,94
7 Vidas,"Mystery, Comedy, Sci-Fi",6.7,0,80
7 Virgins,Fantasy,6.7,0,94
"7 dney, 7 nochey","Family, Comedy",6.3,402,98
7 octobre 2023 - Un crime sans nom,Documentary,6.7,0,94
7/G,Mystery,4.5,636,94
72 Hours,"Thriller, Action",4.1,279,87
77,Drama,6.7,0,94
78 dana,Drama,7.3,219,94
7vens Law,Crime,9.3,19,94
8 Confessions in Los Angeles,Drama,6.7,0,94
8 Don 75,Drama,8.5,22,94
8 Islands,Documentary,9,25,94
8 Second Legends,Documentary,6.7,0,94
8 Views of Lake Biwa,"Drama, Romance",5.5,101,94
8 secondes,"Sport, Documentary",6.7,0,94
80 Plus,Comedy,7.1,41,95
823-y kilometr,Drama,6.7,0,94
840,Drama,4.2,451,94
87 Candles,"Sport, Documentary, Biography",8.9,9,55
8PM to 8AM,Thriller,6.7,0,94
8th Day of Khamsin,Documentary,6.7,0,94
8th St.,Drama,6.7,0,94
8th St. 2: New Beginnings,Drama,6.7,0,94
8th Street Menace,Comedy,6.7,0,67
8x8,Drama,5.8,53,94
9 Hao Chuan Qi,"Sport, Drama",6.7,0,94
9 Windows,"Mystery, Horror, Thriller, Crime",3.6,299,94
9 sekund,"Drama, Biography",4.5,57,91
9/11: Crime Scene to Courtroom,Documentary,6.7,0,94
95B,Sci-Fi,6.7,0,94
99 Problems of Yellow,"Drama, Comedy",6.7,0,94
A '90s Christmas,Romance,6,1100,90
A Almería de Leone,"Western, Documentary, Biography",6.7,0,51
A BMI Christmas,Music,6.7,0,57
A Babá - Operação Game Over,Adventure,4.8,9,94
A Backyard in Delaware,Documentary,6.7,0,94
A Balloon's Landing,Drama,6.6,482,94
A Beautiful Imperfection,Drama,6.4,586,94
A Bit of a Stranger,Documentary,7.3,41,94
A Blink Away,Drama,6.7,0,94
A Blissful Filmmaker Known As Karl Marx,"Sci-Fi, Comedy",6.7,0,106
A Bluegrass Christmas,Romance,6,224,84
A Body to Kill for 2,Drama,6.7,0,94
A Body to Live In,Documentary,6.7,0,94
A Boston (R)Evolution,Documentary,6.4,16,94
A Bridge to Life,Documentary,6.7,0,94
A Bronx Tale: The Original One Man Show,"Drama, Biography, Crime",8.7,13,94
A Brother and 7 Siblings,"Family, Drama",8.6,1100,94
A Brother's Bond,Drama,6.7,0,94
A Brothers Bond,Crime,9.7,7,94
A Cabeça não é um sítio seguro,Documentary,6.7,0,94
A Caixa,Drama,6.7,0,94
A Call from the Wild,Documentary,8,28,94
A Carpenter's Prayer,"Family, Drama",8.6,33,94
A Case for Love,Documentary,9.6,11,94
A Celebration of Tenacity,Documentary,6.7,0,94
A Century in Sound,Documentary,8.4,7,94
A Certain Woman,Documentary,6.7,0,94
A Cheesy Christmas,Comedy,6.7,0,46
A Christmas Carol,Adventure,9.8,10,39
A Christmas Castle Proposal: A Royal in Paradise 2,Romance,6.3,320,94
A Christmas Dream,"Romance, Comedy",4.5,46,94
A Christmas Gift,Romance,6.7,0,94
A Christmas Heart,Drama,6.7,0,94
A Christmas Miracle,"Family, Comedy",6.7,0,133
A Christmas Reunion,"Family, Comedy",4.9,10,64
A Christmas Storm,Comedy,6.5,167,90
A Christmas Thrill,"Romance, Comedy",6.7,0,94
A Christmas of Wonders,Romance,4.9,118,86
A Circus Tale & a Love Song,"Drama, Romance",5.9,101,94
A City in Crisis,Documentary,6.7,0,94
A Clockwork Shining: Kubrick's Odyssey 3,Documentary,5.7,23,94
A Coffin of Stars,"Horror, Mystery, Sci-Fi, Drama, Thriller",6.7,0,94
A Cold Grave,"Mystery, Horror, Thriller",3.5,268,94
A Communist Brainwashed My Daughter,Comedy,6.7,0,100
A Complete Unknown,"Drama, Biography, Music",7.4,55000,141
A Conceptual Artist Called Karl Marx,"Sci-Fi, Comedy",6.7,0,79
A Country Called Ghana,"History, Comedy",9.4,8,94
A Country Music Christmas,Romance,6.5,97,94
